full_id,osm_id,osm_type,historic,plaque:type,name2,name1,artwork_type,person:death,person:name,material,width,website,ref:CRFOP,natural,denotation,circumference,inscription:url,layer,tourism,source_ref,flood_mark,flood_date,source:name,url,memorial:type,tower:type,man_made,wikipedia:pl,entrance,location,name:fa,power,backrest,amenity,subject:wikipedia,denomination,tomb,religion,description2,wheelchair:description,wheelchair,toilets:wheelchair,noexit,inscription,image,description,artist_name,wikipedia,wikidata,subject:wikidata,start_date,name:pl,name:en,name:de,name,memorial
n9239047337,"9239047337",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pomnik nagrobny działaczy Związku Odwetu ZWZ Miasta Poznania straconych przez hitlerowców,
n9239047338,"9239047338",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pomnik nagrobny ""Obóz karny w Żabikowie""",
n9239047339,"9239047339",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pomnik nagrobny ""Poznańskie więzienie przy ul. Młyńskiej""",
n9239047340,"9239047340",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pomnik nagrobny ""Siedziba Gestapo i Fort VII""",
n9239047341,"9239047341",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pomnik nagrobny ""Polska się o Was upomniała""",
n9239047342,"9239047342",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pomnik nagrobny ""Lasy roznowskie i palędzkie""",
n9239047343,"9239047343",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pomnik nagrobny ""1939-45""",
n9239047344,"9239047344",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kazamaty Fortu Winiary,plaque
n9239047357,"9239047357",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miejsce spoczynku Józefa Kramarkiewicza,plaque
n9239047358,"9239047358",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tablica bohaterów Armii Krajowej Okręgów Wileńskiego i Nowogrodzkiego,plaque
n9239047359,"9239047359",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Płk. Henryk Kowalówka ""Zrąb""",plaque
n9239047360,"9239047360",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dr. med. Antoni S. Jurasz i Antoni T. Jurasz,plaque
n9239047363,"9239047363",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000-12,,,,Ks. kan. dr Czesław Piotrowski,plaque
n9239047364,"9239047364",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ks. kan. Hieronim Lewandowski,plaque
n9239047365,"9239047365",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1898",,,,Emilia Sczaniecka,plaque
n9239047366,"9239047366",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dr Franciszek Chłapowski,plaque
n9239047367,"9239047367",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wanda z hr. Kwileckich Władysławowa Niegolewska,plaque
n9239047368,"9239047368",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aniela Tułodziecka,plaque
n9239047369,"9239047369",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ks. Leon Laskowski,plaque
n9239047371,"9239047371",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1860",,,,Karol Marcinkowski,plaque
n9239047372,"9239047372",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maria Swinarska,plaque
