fid;FUNOGBUD_BZPL;FUNSZCZ_BZPL;FUNOGBUD_PL;FUNSZCZ_PL
34458;Budynki Szkol I Instytucji Badawczych;Szkola Ponadpodstawowa;Budynki Szkół I Instytucji Badawczych;Szkoła Ponadpodstawowa
53708;Budynki O Trzech I Wiecej Mieszkaniach;Apteka, Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Apteka, Budynek Wielorodzinny
56007;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
44521;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
44750;Budynki Szkol I Instytucji Badawczych;Placowka Badawcza;Budynki Szkół I Instytucji Badawczych;Placówka Badawcza
20880;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
47207;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
12355;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Gospodarczy, Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Gospodarczy, Budynek Wielorodzinny
38924;Budynki Szkol I Instytucji Badawczych;Szkola Ponadpodstawowa;Budynki Szkół I Instytucji Badawczych;Szkoła Ponadpodstawowa
70692;Budynki Zbiorowego Zamieszkania;Klasztor;Budynki Zbiorowego Zamieszkania;Klasztor
11494;Budynki Zbiorowego Zamieszkania;Dom Studencki, Placowka Ochrony Zdrowia;Budynki Zbiorowego Zamieszkania;Dom Studencki, Placówka Ochrony Zdrowia
20135;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
64862;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
12190;Budynki Zbiorowego Zamieszkania;Dom Studencki, Dom Towarowy Lub Handlowy;Budynki Zbiorowego Zamieszkania;Dom Studencki, Dom Towarowy Lub Handlowy
19744;Budynki Szkol I Instytucji Badawczych;Przedszkole;Budynki Szkół I Instytucji Badawczych;Przedszkole
4286;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
28405;Budynki Kultury Fizycznej;Sala Gimnastyczna;Budynki Kultury Fizycznej;Sala Gimnastyczna
12218;Budynki O Trzech I Wiecej Mieszkaniach;Apteka, Budynek Wielorodzinny, Placowka Ochrony Zdrowia;Budynki O Trzech I Więcej Mieszkaniach;Apteka, Budynek Wielorodzinny, Placówka Ochrony Zdrowia
18351;Budynek Gospodarstwa Rolnego;Budynek Gospodarczy;Budynek Gospodarstwa Rolnego;Budynek Gospodarczy
17989;Budynek Gospodarstwa Rolnego;Budynek Gospodarczy;Budynek Gospodarstwa Rolnego;Budynek Gospodarczy
43554;Budynki Biurowe;Siedziba Firmy Lub Firm;Budynki Biurowe;Siedziba Firmy Lub Firm
56647;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
62672;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
20339;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Gospodarczy, Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Gospodarczy, Budynek Wielorodzinny
12605;Budynki Handlowo Uslugowe;Dom Towarowy Lub Handlowy;Budynki Handlowo Usługowe;Dom Towarowy Lub Handlowy
4701;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny, Pawilon Handlowo Uslugowy;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny, Pawilon Handlowo Usługowy
4224;Budynki Biurowe;Siedziba Firmy Lub Firm;Budynki Biurowe;Siedziba Firmy Lub Firm
4040;Budynki Szkol I Instytucji Badawczych;Szkola Ponadpodstawowa;Budynki Szkół I Instytucji Badawczych;Szkoła Ponadpodstawowa
70681;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
70683;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
36223;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
70682;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
12832;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
56181;Budynki Biurowe;Inny Urzad Administracji Publicznej;Budynki Biurowe;Inny Urząd Administracji Publicznej
47846;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
63466;Budynki Biurowe;Siedziba Firmy Lub Firm;Budynki Biurowe;Siedziba Firmy Lub Firm
4390;Budynki O Trzech I Wiecej Mieszkaniach;Apteka, Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Apteka, Budynek Wielorodzinny
12083;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
70670;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
21048;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
46087;Budynki Szkol I Instytucji Badawczych;Szkola Wyzsza;Budynki Szkół I Instytucji Badawczych;Szkoła Wyższa
34739;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
4280;Budynki Zbiorowego Zamieszkania;Dom Parafialny, Przedszkole;Budynki Zbiorowego Zamieszkania;Dom Parafialny, Przedszkole
63806;Budynki Kultu Religijnego;Kosciol;Budynki Kultu Religijnego;Kościół
70686;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
4279;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
